"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 03:55:21 GMT 2023","Fri Dec 29 03:55:22 GMT 2023","780","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 03:55:27 GMT 2023","Fri Dec 29 03:55:28 GMT 2023","1144","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 03:55:23 GMT 2023","Fri Dec 29 03:55:24 GMT 2023","779","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 03:55:02 GMT 2023","Fri Dec 29 03:55:20 GMT 2023","17687","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
"passed","Fri Dec 29 03:55:22 GMT 2023","Fri Dec 29 03:55:23 GMT 2023","827","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 03:55:20 GMT 2023","Fri Dec 29 03:55:21 GMT 2023","797","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
"passed","Fri Dec 29 03:55:24 GMT 2023","Fri Dec 29 03:55:26 GMT 2023","1751","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
"passed","Fri Dec 29 03:55:26 GMT 2023","Fri Dec 29 03:55:27 GMT 2023","1071","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
"passed","Fri Dec 29 03:55:22 GMT 2023","Fri Dec 29 03:55:22 GMT 2023","775","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
