"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 04:07:42 GMT 2023","Fri Dec 29 04:07:43 GMT 2023","1075","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
"passed","Fri Dec 29 04:07:40 GMT 2023","Fri Dec 29 04:07:40 GMT 2023","810","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 04:07:43 GMT 2023","Fri Dec 29 04:07:45 GMT 2023","1141","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 04:07:40 GMT 2023","Fri Dec 29 04:07:41 GMT 2023","795","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 04:07:38 GMT 2023","Fri Dec 29 04:07:39 GMT 2023","780","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 04:07:41 GMT 2023","Fri Dec 29 04:07:42 GMT 2023","1102","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
"passed","Fri Dec 29 04:07:29 GMT 2023","Fri Dec 29 04:07:37 GMT 2023","8518","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
"passed","Fri Dec 29 04:07:39 GMT 2023","Fri Dec 29 04:07:40 GMT 2023","777","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 04:07:37 GMT 2023","Fri Dec 29 04:07:38 GMT 2023","804","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
