"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 11:23:14 GMT 2023","Fri Dec 29 11:23:15 GMT 2023","810","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:23:17 GMT 2023","Fri Dec 29 11:23:18 GMT 2023","1101","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
"passed","Fri Dec 29 11:23:06 GMT 2023","Fri Dec 29 11:23:12 GMT 2023","5338","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
"passed","Fri Dec 29 11:23:12 GMT 2023","Fri Dec 29 11:23:13 GMT 2023","822","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:23:13 GMT 2023","Fri Dec 29 11:23:14 GMT 2023","796","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:23:13 GMT 2023","Fri Dec 29 11:23:13 GMT 2023","798","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:23:16 GMT 2023","Fri Dec 29 11:23:17 GMT 2023","1119","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
"passed","Fri Dec 29 11:23:18 GMT 2023","Fri Dec 29 11:23:19 GMT 2023","1160","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 11:23:15 GMT 2023","Fri Dec 29 11:23:16 GMT 2023","796","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
