"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 11:29:00 GMT 2023","Fri Dec 29 11:29:01 GMT 2023","1160","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 11:28:57 GMT 2023","Fri Dec 29 11:28:58 GMT 2023","795","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:28:55 GMT 2023","Fri Dec 29 11:28:56 GMT 2023","781","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:28:50 GMT 2023","Fri Dec 29 11:28:54 GMT 2023","3892","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
"passed","Fri Dec 29 11:28:54 GMT 2023","Fri Dec 29 11:28:55 GMT 2023","820","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:28:59 GMT 2023","Fri Dec 29 11:29:00 GMT 2023","1073","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
"passed","Fri Dec 29 11:28:56 GMT 2023","Fri Dec 29 11:28:57 GMT 2023","809","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:28:56 GMT 2023","Fri Dec 29 11:28:56 GMT 2023","776","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:28:58 GMT 2023","Fri Dec 29 11:28:59 GMT 2023","1104","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
