"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 11:26:44 GMT 2023","Fri Dec 29 11:26:45 GMT 2023","894","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:26:47 GMT 2023","Fri Dec 29 11:26:48 GMT 2023","1203","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
"passed","Fri Dec 29 11:26:42 GMT 2023","Fri Dec 29 11:26:42 GMT 2023","878","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:26:48 GMT 2023","Fri Dec 29 11:26:50 GMT 2023","1277","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 11:26:42 GMT 2023","Fri Dec 29 11:26:43 GMT 2023","865","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:26:31 GMT 2023","Fri Dec 29 11:26:41 GMT 2023","10068","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
"passed","Fri Dec 29 11:26:43 GMT 2023","Fri Dec 29 11:26:44 GMT 2023","860","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:26:45 GMT 2023","Fri Dec 29 11:26:46 GMT 2023","878","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:26:46 GMT 2023","Fri Dec 29 11:26:47 GMT 2023","1219","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
