"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 11:20:58 GMT 2023","Fri Dec 29 11:20:59 GMT 2023","782","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:21:01 GMT 2023","Fri Dec 29 11:21:02 GMT 2023","795","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:21:02 GMT 2023","Fri Dec 29 11:21:03 GMT 2023","1070","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
"passed","Fri Dec 29 11:21:00 GMT 2023","Fri Dec 29 11:21:00 GMT 2023","759","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:21:04 GMT 2023","Fri Dec 29 11:21:05 GMT 2023","1159","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 11:20:55 GMT 2023","Fri Dec 29 11:20:58 GMT 2023","2765","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
"passed","Fri Dec 29 11:20:59 GMT 2023","Fri Dec 29 11:21:00 GMT 2023","748","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:21:00 GMT 2023","Fri Dec 29 11:21:01 GMT 2023","777","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:21:03 GMT 2023","Fri Dec 29 11:21:04 GMT 2023","1038","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
