"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 29 11:10:07 GMT 2023","Fri Dec 29 11:10:08 GMT 2023","1153","","Product list","","Add product to cart","","Add product to cart","  As a user, I must view the product list"
"passed","Fri Dec 29 11:10:08 GMT 2023","Fri Dec 29 11:10:10 GMT 2023","1244","","Cart","","Remove product from cart","","Remove product from cart","  As a user, I want to add and remove products from the Cart"
"passed","Fri Dec 29 11:10:05 GMT 2023","Fri Dec 29 11:10:06 GMT 2023","881","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:10:06 GMT 2023","Fri Dec 29 11:10:07 GMT 2023","1184","","Product list","","Validate the product list","","Validate the product list","  As a user, I must view the product list"
"passed","Fri Dec 29 11:10:04 GMT 2023","Fri Dec 29 11:10:05 GMT 2023","877","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:10:01 GMT 2023","Fri Dec 29 11:10:02 GMT 2023","901","","User Authentication","","Login successfully","","Login successfully","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:10:02 GMT 2023","Fri Dec 29 11:10:03 GMT 2023","865","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:10:03 GMT 2023","Fri Dec 29 11:10:04 GMT 2023","893","","User Authentication","","Invalid login","","Invalid login","  As a user i want login to sauce demo"
"passed","Fri Dec 29 11:09:40 GMT 2023","Fri Dec 29 11:10:01 GMT 2023","21815","","Test Checkout Flow","","Verify Order Information During Checkout","","Verify Order Information During Checkout","  As a user, I want to purchase products from Sauce Demo"
